

香港(北美),#genre#
BBC_AMERICA,http://23.237.104.106:8080/USA_BBC_AMERICA/index.m3u8
BBC_NEWS,http://23.237.104.106:8080/USA_BBC_NEWS/index.m3u8
BOOMERANG,http://23.237.104.106:8080/USA_BOOMERANG/index.m3u8
NICKELODEON,http://23.237.104.106:8080/USA_NICKELODEON/index.m3u8
CARTOON_NETWORK,http://23.237.104.106:8080/USA_CARTOON_NETWORK/index.m3u8
WE_TV,http://23.237.104.106:8080/USA_WE_TV/index.m3u8
MTV,http://23.237.104.106:8080/USA_MTV/index.m3u8
MTV_LIVE,http://23.237.104.106:8080/USA_MTV_LIVE/index.m3u8
VH1,http://23.237.104.106:8080/USA_VH1/index.m3u8
TRUTV,http://23.237.104.106:8080/USA_TRUTV/index.m3u8
WildEarth,https://wildearth-lg-us.amagi.tv/hls/amagi_hls_data_wildearth-wildearth-lg-us/CDN/master.m3u8
Love Nature,https://bamus-lovenature-lg.amagi.tv/hls/amagi_hls_data_bamusaAAA-bamus-lovenature-lg/CDN/master.m3u8
PBS Nature,https://cdn-uw2-prod.tsv2.amagi.tv/linear/amg01597-wnetnewyorkpubl-pbsnature-lgus/playlist.m3u8
Xumo Free Nature & Wildlife TV,https://live-content.xumo.com/3878/content/XM0URJK0VHF1WR/27308798/master.m3u8
MovieSphere by Lionsgate,https://dbrb49pjoymg4.cloudfront.net/10001/99951251/hls/playlist.m3u8?ads.xumo_channelId=99951251&ads._fw_ifa_type=&ads._fw_did=10dcfd99-ad05-49bf-885a-bcd6a8fca7e3&ads.amznappId=&ads.lat=&ads.lon=&ads.os=&ads.osv=&ads.asnw=&ads.caid=LionsgateMovieSphere&ads.csid=xumo_web_LionsgateMovieSphere_ssai&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads.genre=&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads.xumo_contentId=3955&ads.xumo_contentName=LionsgateMovieSphere&ads.xumo_providerId=3955&ads.xumo_providerName=LionsgateMovieSphere&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.channelId=99951251&ads.xumo_platform=web&ads.site_id=&ads.appName=xumo&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
Million Dollar Listing Vault,https://d4whmvwm0rdvi.cloudfront.net/10007/99951237/hls/master.m3u8?ads.xumo_channelId=99951237&ads.asnw=169843&ads.afid=347195519&ads.sfid=16772620&ads.csid=xumo_web_NBCUMillionDollarListing_ssai_cro&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads._fw_did=9999095f-5911-4f1e-8344-1653e76c0d61&ads._fw_vcid2=512116:9999095f-5911-4f1e-8344-1653e76c0d61&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=&ads._fw_content_category=&ads._fw_content_genre=&ads._fw_content_language=en&ads._fw_content_rating=&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads._fw_deviceType=3-Connected_TV&ads.appVersion=1.0.0&ads.appName=XumoPlay&ads.xumo_contentId=2780&ads.xumo_contentName=NBCUMillionDollarListing&ads.xumo_providerId=2780&ads.xumo_providerName=NBCUMillionDollarListing&ads.channelId=99951237&ads._fw_ifa_type=
movie sphere,https://samsunguk-moviesphereuk-samsung-uk-s7xaa.amagi.tv/ts-eu-w1-n2/playlist/samsunguk-moviesphereuk-samsung-uk/playlist.m3u8
BBC News,https://d3pxo1qcgzxtxs.cloudfront.net/10005/99951298/hls/playlist.m3u8?ads.xumo_channelId=99951298&ads.xumo_streamId=99951298&ads.channelId=99951298&ads.channelName=amcbbcnews_us&ads.csid=xumo_web_AMCBBCNews_ssai&ads._fw_coppa=0&ads.xumo_contentId=4023&ads.xumo_contentName=AMCBBCNews&ads.xumo_providerId=4023&ads.xumo_providerName=AMCBBCNews&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_did=:6f2636b2-0021-4b7a-9e33-d7a82fac42c1&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads._fw_deviceType=3-Connected_TV&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.xumo_platform=web&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
CNN Headlines,https://dbrb49pjoymg4.cloudfront.net/10001/99951386/hls/playlist.m3u8?ads.xumo_channelId=99951386&ads._fw_ifa_type=&ads._fw_did=cdd01e28-8a9c-4cca-b30d-c6b88449332f&ads.amznappId=&ads.lat=&ads.lon=&ads.os=&ads.osv=&ads.asnw=&ads.caid=WBDCNNHeadlines&ads.csid=xumo_web_WBDCNNHeadlines_ssai&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads.genre=&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads.xumo_contentId=4193&ads.xumo_contentName=WBDCNNHeadlines&ads.xumo_providerId=4193&ads.xumo_providerName=WBDCNNHeadlines&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.channelId=99951386&ads.xumo_platform=web&ads.site_id=&ads.appName=xumo&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
CBS News Bay Area,https://dai.google.com/linear/hls/event/laLJwH1nS2KQAUQTF8z1Cg/master.m3u8?imafw_csid=;imafwfw_h_referer=com.xumo.app&imafwfw_did=dpid:&imafwfw_is_lat=&imafwfw_vcid2=&imafw__fw_app_bundle=web.xumo.com&imafw_is_lat=
CBS News New York,https://dai.google.com/linear/hls/event/jeTDC610T-OSPdiWhcl0Pg/master.m3u8?imafw_csid=;imafwfw_h_referer=com.xumo.app&imafwfw_did=dpid:&imafwfw_is_lat=&imafwfw_vcid2=&imafw__fw_app_bundle=web.xumo.com&imafw_is_lat=
CBS News Los Angeles,https://dai.google.com/linear/hls/event/K_2aA7OVRTacJJli1oSi8w/master.m3u8?imafw_csid=;imafwfw_h_referer=com.xumo.app&imafwfw_did=dpid:&imafwfw_is_lat=&imafwfw_vcid2=&imafw__fw_app_bundle=web.xumo.com&imafw_is_lat=
NBC Bay Area News,https://d4whmvwm0rdvi.cloudfront.net/10007/99951162/hls/master.m3u8?ads.xumo_channelId=99951162&ads.asnw=169843&ads.afid=348208856&ads.sfid=17135549&ads.csid=xumo_web_NBCNBA_ssai_cro&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads._fw_did=462d0525-04c2-4add-9175-7c6d97e4e2b3&ads._fw_vcid2=512116:462d0525-04c2-4add-9175-7c6d97e4e2b3&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=&ads._fw_content_category=&ads._fw_content_genre=&ads._fw_content_language=en&ads._fw_content_rating=&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads._fw_deviceType=3-Connected_TV&ads.appVersion=1.0.0&ads.appName=xumo&ads.xumo_contentId=3822&ads.xumo_contentName=NBCNBA&ads.xumo_providerId=3822&ads.xumo_providerName=NBCNBA&ads.channelId=99951162&ads._fw_ifa_type=
NBC 4 Los Angeles News,https://d4whmvwm0rdvi.cloudfront.net/10007/99951164/hls/master.m3u8?ads.xumo_channelId=99951164&ads.asnw=169843&ads.afid=314801499&ads.sfid=17135549&ads.csid=xumo_web_NBCNLA_ssai_cro&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads._fw_did=5d904b8c-d3f3-43f8-acde-b5bfa373d134&ads._fw_vcid2=512116:5d904b8c-d3f3-43f8-acde-b5bfa373d134&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=&ads._fw_content_category=&ads._fw_content_genre=&ads._fw_content_language=en&ads._fw_content_rating=&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads._fw_deviceType=3-Connected_TV&ads.appVersion=1.0.0&ads.appName=xumoplay&ads.xumo_contentId=3817&ads.xumo_contentName=NBCNLA&ads.xumo_providerId=3817&ads.xumo_providerName=NBCNLA&ads.channelId=99951164&ads._fw_ifa_type=
FOX LOCAL San Francisco,https://dbrb49pjoymg4.cloudfront.net/10001/99951422/hls/playlist.m3u8?ads.xumo_channelId=99951422&ads._fw_ifa_type=&ads._fw_did=8acc7f36-e445-4c72-8d7d-05bbae645e33&ads.amznappId=&ads.lat=&ads.lon=&ads.os=&ads.osv=&ads.asnw=&ads.caid=FoxSanFrancisco&ads.csid=xumo_web_FoxSanFrancisco_ssai&ads._fw_is_lat=0&ads._fw_us_privacy=&ads._fw_coppa=0&ads.genre=&ads._fw_content_category=&ads._fw_content_language=en&ads._fw_content_genre=&ads._fw_content_rating=&ads.xumo_contentId=4157&ads.xumo_contentName=FoxSanFrancisco&ads.xumo_providerId=4157&ads.xumo_providerName=FoxSanFrancisco&ads._fw_deviceMake=GitHubAction&ads._fw_device_model=PythonScript&ads.channelId=99951422&ads.xumo_platform=web&ads.site_id=&ads.appName=xumo&ads.appVersion=1.0.0&ads._fw_app_bundle=web.xumo.com&ads._fw_app_store_url=
US: CBS 7 Bend Oregon,http://tv.cloudcdn.me:80/live.ts?channelId=132716&uid=8112&deviceMac=00:1A:79:0A:3B:2D
US: Fox Buffalo New York,http://tv.cloudcdn.me:80/live.ts?channelId=132734&uid=8112&deviceMac=00:1A:79:0A:3B:2D
US: Fox Spokane Washington,http://tv.cloudcdn.me:80/live.ts?channelId=132712&uid=8112&deviceMac=00:1A:79:0A:3B:2D
US: Fox Cedar Rapids Iowa,http://tv.cloudcdn.me:80/live.ts?channelId=132722&uid=8112&deviceMac=00:1A:79:0A:3B:2D
US: Fox Richmond Virginia,http://tv.cloudcdn.me:80/live.ts?channelId=132711&uid=8112&deviceMac=00:1A:79:0A:3B:2D
NBC Portsmouth Virginia,http://tv.cloudcdn.me:80/live.ts?channelId=132710&uid=8112&deviceMac=00:1A:79:0A:3B:2D





